stock,sector,sub_sector,earnings_date,is_large_reaction,is_extreme_reaction,hist_extreme_prob,global_hist_prob,current_lift_vs_baseline,current_lift_vs_same_bucket_global,extreme_count,risk_level,risk_score,base_extreme_prob
GIS,Consumer Staples,Packaged Foods & Meats,2025-12-17,0,0,0.052,0.052,0.449,1.0,423.0,Low,55.0,0.116
GL,Financials,Life & Health Insurance,2025-02-05,0,0,0.052,0.052,0.449,1.0,423.0,Low,65.0,0.116
GL,Financials,Life & Health Insurance,2025-04-30,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,35.0,0.116
GL,Financials,Life & Health Insurance,2025-07-23,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,51.0,0.116
GL,Financials,Life & Health Insurance,2025-10-22,0,0,0.052,0.052,0.449,1.0,423.0,Low,54.0,0.116
GLW,Information Technology,Electronic Components,2025-01-29,0,0,0.052,0.052,0.449,1.0,423.0,Low,56.0,0.116
GLW,Information Technology,Electronic Components,2025-04-29,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,45.0,0.116
GLW,Information Technology,Electronic Components,2025-07-29,0,0,0.091,0.091,0.786,1.0,740.0,High,76.0,0.116
GLW,Information Technology,Electronic Components,2025-10-28,0,0,0.052,0.052,0.449,1.0,423.0,Low,64.0,0.116
GM,Consumer Discretionary,Automobile Manufacturers,2025-01-28,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,41.0,0.116
GM,Consumer Discretionary,Automobile Manufacturers,2025-04-29,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,34.0,0.116
GM,Consumer Discretionary,Automobile Manufacturers,2025-07-22,1,1,0.105,0.105,0.907,1.0,854.0,Very Low,51.0,0.116
GM,Consumer Discretionary,Automobile Manufacturers,2025-10-21,0,0,0.052,0.052,0.449,1.0,423.0,Low,54.0,0.116
GNRC,Industrials,Electrical Components & Equipment,2025-02-12,1,0,0.091,0.091,0.786,1.0,740.0,High,83.0,0.116
GNRC,Industrials,Electrical Components & Equipment,2025-04-30,0,0,0.052,0.052,0.449,1.0,423.0,Low,55.0,0.116
GNRC,Industrials,Electrical Components & Equipment,2025-07-30,1,1,0.091,0.091,0.786,1.0,740.0,High,81.0,0.116
GNRC,Industrials,Electrical Components & Equipment,2025-10-30,1,0,0.052,0.052,0.449,1.0,423.0,Low,65.0,0.116
GOOG,Communication Services,Interactive Media & Services,2025-02-04,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,87.0,0.116
GOOG,Communication Services,Interactive Media & Services,2025-04-24,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,72.0,0.116
GOOG,Communication Services,Interactive Media & Services,2025-07-23,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
GOOG,Communication Services,Interactive Media & Services,2025-10-29,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,90.0,0.116
GOOGL,Communication Services,Interactive Media & Services,2025-02-04,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,92.0,0.116
GOOGL,Communication Services,Interactive Media & Services,2025-04-24,0,0,0.091,0.091,0.786,1.0,740.0,High,79.0,0.116
GOOGL,Communication Services,Interactive Media & Services,2025-07-23,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,92.0,0.116
GOOGL,Communication Services,Interactive Media & Services,2025-10-29,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,92.0,0.116
GPC,Consumer Discretionary,Distributors,2025-02-13,0,0,0.052,0.052,0.449,1.0,423.0,Low,54.0,0.116
GPC,Consumer Discretionary,Distributors,2025-04-16,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,34.0,0.116
GPC,Consumer Discretionary,Distributors,2025-07-21,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,53.0,0.116
GPC,Consumer Discretionary,Distributors,2025-10-21,0,0,0.052,0.052,0.449,1.0,423.0,Low,59.0,0.116
GPN,Financials,Transaction & Payment Processing Services,2025-02-13,0,0,0.091,0.091,0.786,1.0,740.0,High,77.0,0.116
GPN,Financials,Transaction & Payment Processing Services,2025-05-06,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,42.0,0.116
GPN,Financials,Transaction & Payment Processing Services,2025-08-06,1,0,0.049,0.049,0.42,1.0,395.0,Moderate,68.0,0.116
GPN,Financials,Transaction & Payment Processing Services,2025-10-29,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,71.0,0.116
GRMN,Consumer Discretionary,Consumer Electronics,2025-02-19,1,0,0.091,0.091,0.786,1.0,740.0,High,78.0,0.116
GRMN,Consumer Discretionary,Consumer Electronics,2025-04-29,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,37.0,0.116
GRMN,Consumer Discretionary,Consumer Electronics,2025-07-29,1,1,0.049,0.049,0.42,1.0,395.0,Moderate,72.0,0.116
GRMN,Consumer Discretionary,Consumer Electronics,2025-10-29,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,73.0,0.116
GS,Financials,Investment Banking & Brokerage,2025-01-15,0,0,0.052,0.052,0.449,1.0,423.0,Low,59.0,0.116
GS,Financials,Investment Banking & Brokerage,2025-04-14,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,32.0,0.116
GS,Financials,Investment Banking & Brokerage,2025-07-16,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
GS,Financials,Investment Banking & Brokerage,2025-10-14,0,0,0.052,0.052,0.449,1.0,423.0,Low,60.0,0.116
GWW,Industrials,Industrial Machinery & Supplies & Components,2025-01-31,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,68.0,0.116
GWW,Industrials,Industrial Machinery & Supplies & Components,2025-05-01,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,50.0,0.116
GWW,Industrials,Industrial Machinery & Supplies & Components,2025-08-01,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,70.0,0.116
GWW,Industrials,Industrial Machinery & Supplies & Components,2025-10-31,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,69.0,0.116
HAL,Energy,Oil & Gas Equipment & Services,2025-01-21,1,0,0.049,0.049,0.42,1.0,395.0,Moderate,73.0,0.116
HAL,Energy,Oil & Gas Equipment & Services,2025-04-21,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,43.0,0.116
HAL,Energy,Oil & Gas Equipment & Services,2025-07-25,0,0,0.052,0.052,0.449,1.0,423.0,Low,57.0,0.116
HAL,Energy,Oil & Gas Equipment & Services,2025-10-21,1,0,0.052,0.052,0.449,1.0,423.0,Low,64.0,0.116
HAS,Consumer Discretionary,Leisure Products,2025-02-11,0,0,0.052,0.052,0.449,1.0,423.0,Low,67.0,0.116
HAS,Consumer Discretionary,Leisure Products,2025-04-22,1,1,0.105,0.105,0.907,1.0,854.0,Very Low,37.0,0.116
HAS,Consumer Discretionary,Leisure Products,2025-07-23,0,0,0.052,0.052,0.449,1.0,423.0,Low,58.0,0.116
HAS,Consumer Discretionary,Leisure Products,2025-10-23,0,0,0.052,0.052,0.449,1.0,423.0,Low,60.0,0.116
HBAN,Financials,Regional Banks,2025-01-17,0,0,0.052,0.052,0.449,1.0,423.0,Low,57.0,0.116
HBAN,Financials,Regional Banks,2025-04-17,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,35.0,0.116
HBAN,Financials,Regional Banks,2025-07-18,0,0,0.052,0.052,0.449,1.0,423.0,Low,60.0,0.116
HBAN,Financials,Regional Banks,2025-10-17,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,53.0,0.116
HCA,Health Care,Health Care Facilities,2025-01-24,0,0,0.052,0.052,0.449,1.0,423.0,Low,59.0,0.116
HCA,Health Care,Health Care Facilities,2025-04-25,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,51.0,0.116
HCA,Health Care,Health Care Facilities,2025-07-25,1,0,0.052,0.052,0.449,1.0,423.0,Low,63.0,0.116
HCA,Health Care,Health Care Facilities,2025-10-24,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,73.0,0.116
HD,Consumer Discretionary,Home Improvement Retail,2025-02-25,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,52.0,0.116
HD,Consumer Discretionary,Home Improvement Retail,2025-05-20,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,44.0,0.116
HD,Consumer Discretionary,Home Improvement Retail,2025-08-19,0,0,0.052,0.052,0.449,1.0,423.0,Low,57.0,0.116
HD,Consumer Discretionary,Home Improvement Retail,2025-11-18,0,0,0.052,0.052,0.449,1.0,423.0,Low,65.0,0.116
HIG,Financials,Property & Casualty Insurance,2025-01-30,0,0,0.091,0.091,0.786,1.0,740.0,High,86.0,0.116
HIG,Financials,Property & Casualty Insurance,2025-04-24,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
HIG,Financials,Property & Casualty Insurance,2025-07-28,0,0,0.091,0.091,0.786,1.0,740.0,High,85.0,0.116
HIG,Financials,Property & Casualty Insurance,2025-10-23,0,0,0.091,0.091,0.786,1.0,740.0,High,86.0,0.116
HII,Industrials,Aerospace & Defense,2025-02-06,1,0,0.049,0.049,0.42,1.0,395.0,Moderate,69.0,0.116
HII,Industrials,Aerospace & Defense,2025-05-01,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,44.0,0.116
HII,Industrials,Aerospace & Defense,2025-07-31,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
HII,Industrials,Aerospace & Defense,2025-10-30,0,0,0.052,0.052,0.449,1.0,423.0,Low,61.0,0.116
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-02-06,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,74.0,0.116
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-04-29,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,38.0,0.116
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-07-23,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,68.0,0.116
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-10-22,0,0,0.052,0.052,0.449,1.0,423.0,Low,65.0,0.116
HOLX,Health Care,Health Care Equipment,2025-02-05,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
HOLX,Health Care,Health Care Equipment,2025-05-01,1,0,0.251,0.251,2.163,1.0,2036.0,Extreme,90.0,0.116
HOLX,Health Care,Health Care Equipment,2025-07-30,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
HOLX,Health Care,Health Care Equipment,2025-11-03,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
HON,Industrials,Industrial Conglomerates,2025-02-06,0,0,0.052,0.052,0.449,1.0,423.0,Low,64.0,0.116
HON,Industrials,Industrial Conglomerates,2025-04-29,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,33.0,0.116
